Product Name,Product Price,Sale Discount (%),Discounted Price,Best Seller Rating,Rating Count,Ship From,Sold By,Product Description,Number Bought in the Past Month,Category Name,All Available Images
Automotive Product 713,3443.05,85.80322341201207,488.8,4.5,624,China,Seller_143,This is a description for Automotive Product 713.,211,Automotive,https://example.com/Automotive_Product_713.jpg
Toys Product 1,507.26,54.851528834901615,229.02,4.0,39,India,Seller_186,This is a description for Toys Product 1.,399,Toys,https://example.com/Toys_Product_1.jpg
Beauty Product 881,339.99,60.657977586983165,133.76,4.2,321,India,Seller_467,This is a description for Beauty Product 881.,66,Beauty,https://example.com/Beauty_Product_881.jpg
Electronics Product 218,1109.85,80.061893191786,221.28,4.3,38,India,Seller_460,This is a description for Electronics Product 218.,49,Electronics,https://example.com/Electronics_Product_218.jpg
Sports Product 439,1244.55,78.28074432212883,270.31,5.0,593,India,Seller_464,This is a description for Sports Product 439.,201,Sports,https://example.com/Sports_Product_439.jpg
Computers Product 456,3063.68,75.72880580610658,743.59,3.5,849,Germany,Seller_459,This is a description for Computers Product 456.,315,Computers,https://example.com/Computers_Product_456.jpg
Computers Product 245,828.78,59.40389845541031,336.45,4.3,374,Germany,Seller_131,This is a description for Computers Product 245.,265,Computers,https://example.com/Computers_Product_245.jpg
Shoes Product 326,3196.21,70.59693922359189,939.78,4.2,711,USA,Seller_192,This is a description for Shoes Product 326.,28,Shoes,https://example.com/Shoes_Product_326.jpg
Automotive Product 266,4028.13,56.165841344970744,1765.7,3.6,221,USA,Seller_478,This is a description for Automotive Product 266.,224,Automotive,https://example.com/Automotive_Product_266.jpg
Books Product 932,4334.22,63.59796901968933,1577.74,4.3,965,Germany,Seller_373,This is a description for Books Product 932.,394,Books,https://example.com/Books_Product_932.jpg
Toys Product 663,1803.59,79.02930456582908,378.23,4.7,272,Germany,Seller_133,This is a description for Toys Product 663.,5,Toys,https://example.com/Toys_Product_663.jpg
Clothing Product 220,3835.31,66.69659484179388,1277.29,4.3,143,USA,Seller_74,This is a description for Clothing Product 220.,400,Clothing,https://example.com/Clothing_Product_220.jpg
Electronics Product 874,3241.57,87.84093823737753,394.14,4.3,689,Germany,Seller_407,This is a description for Electronics Product 874.,121,Electronics,https://example.com/Electronics_Product_874.jpg
Shoes Product 134,3251.17,83.28730348320047,543.36,4.9,573,India,Seller_226,This is a description for Shoes Product 134.,491,Shoes,https://example.com/Shoes_Product_134.jpg
Toys Product 417,4208.64,54.75735753434128,1904.1,4.6,447,Germany,Seller_382,This is a description for Toys Product 417.,275,Toys,https://example.com/Toys_Product_417.jpg
Shoes Product 150,673.35,77.04533071322405,154.57,3.8,393,China,Seller_196,This is a description for Shoes Product 150.,420,Shoes,https://example.com/Shoes_Product_150.jpg
Kitchen Product 495,4289.37,62.05093634591213,1627.78,4.3,104,USA,Seller_200,This is a description for Kitchen Product 495.,12,Kitchen,https://example.com/Kitchen_Product_495.jpg
Computers Product 438,493.34,70.67515411227838,144.67,4.9,262,Germany,Seller_64,This is a description for Computers Product 438.,298,Computers,https://example.com/Computers_Product_438.jpg
Clothing Product 918,1179.79,82.7484977032811,203.53,4.6,797,India,Seller_286,This is a description for Clothing Product 918.,126,Clothing,https://example.com/Clothing_Product_918.jpg
Electronics Product 926,3067.43,55.838153094093,1354.63,3.8,18,USA,Seller_373,This is a description for Electronics Product 926.,118,Electronics,https://example.com/Electronics_Product_926.jpg
Kitchen Product 377,1008.14,57.120155754460576,432.29,3.9,393,USA,Seller_470,This is a description for Kitchen Product 377.,292,Kitchen,https://example.com/Kitchen_Product_377.jpg
Automotive Product 101,2184.83,88.27541261490887,256.16,4.5,979,Germany,Seller_111,This is a description for Automotive Product 101.,49,Automotive,https://example.com/Automotive_Product_101.jpg
Books Product 825,1016.56,64.07302911139696,365.22,4.7,578,China,Seller_113,This is a description for Books Product 825.,427,Books,https://example.com/Books_Product_825.jpg
Toys Product 723,768.87,73.18474456102746,206.17,4.4,859,USA,Seller_176,This is a description for Toys Product 723.,341,Toys,https://example.com/Toys_Product_723.jpg
Computers Product 102,3814.38,57.2236043734132,1631.65,4.3,90,USA,Seller_133,This is a description for Computers Product 102.,498,Computers,https://example.com/Computers_Product_102.jpg
Electronics Product 189,3578.9,65.5758652851343,1232.01,4.0,970,India,Seller_72,This is a description for Electronics Product 189.,441,Electronics,https://example.com/Electronics_Product_189.jpg
Toys Product 868,3140.0,56.30045539515497,1372.17,3.7,926,India,Seller_432,This is a description for Toys Product 868.,493,Toys,https://example.com/Toys_Product_868.jpg
Toys Product 965,3552.68,71.81076560877716,1001.47,4.0,173,USA,Seller_415,This is a description for Toys Product 965.,60,Toys,https://example.com/Toys_Product_965.jpg
Computers Product 907,2562.29,65.77346027269871,876.98,4.9,708,USA,Seller_484,This is a description for Computers Product 907.,272,Computers,https://example.com/Computers_Product_907.jpg
Clothing Product 596,4515.07,88.05393048097118,539.37,3.7,477,Germany,Seller_52,This is a description for Clothing Product 596.,396,Clothing,https://example.com/Clothing_Product_596.jpg
Books Product 401,2585.74,52.331443865555975,1232.58,3.6,981,USA,Seller_305,This is a description for Books Product 401.,151,Books,https://example.com/Books_Product_401.jpg
Electronics Product 563,3805.0,82.73166072733059,657.06,4.8,421,India,Seller_311,This is a description for Electronics Product 563.,34,Electronics,https://example.com/Electronics_Product_563.jpg
Shoes Product 564,861.0,61.90190323835261,328.02,3.7,810,India,Seller_492,This is a description for Shoes Product 564.,127,Shoes,https://example.com/Shoes_Product_564.jpg
Shoes Product 879,4864.21,54.80607475168386,2198.33,3.7,982,India,Seller_389,This is a description for Shoes Product 879.,457,Shoes,https://example.com/Shoes_Product_879.jpg
Electronics Product 421,2614.44,58.73332474214925,1078.89,4.8,92,India,Seller_382,This is a description for Electronics Product 421.,402,Electronics,https://example.com/Electronics_Product_421.jpg
Clothing Product 406,4630.31,67.52904287968283,1503.51,3.8,89,China,Seller_302,This is a description for Clothing Product 406.,299,Clothing,https://example.com/Clothing_Product_406.jpg
Automotive Product 336,132.76,64.97943419377411,46.49,4.4,522,Germany,Seller_263,This is a description for Automotive Product 336.,321,Automotive,https://example.com/Automotive_Product_336.jpg
Clothing Product 484,191.5,83.77360676475556,31.07,4.3,898,India,Seller_408,This is a description for Clothing Product 484.,266,Clothing,https://example.com/Clothing_Product_484.jpg
Kitchen Product 228,4022.22,74.26537583884505,1035.1,3.8,182,USA,Seller_310,This is a description for Kitchen Product 228.,408,Kitchen,https://example.com/Kitchen_Product_228.jpg
Electronics Product 220,4263.67,71.28380746511478,1224.36,3.6,254,China,Seller_233,This is a description for Electronics Product 220.,282,Electronics,https://example.com/Electronics_Product_220.jpg
Kitchen Product 241,2906.61,53.69764277318168,1345.83,4.1,888,India,Seller_152,This is a description for Kitchen Product 241.,193,Kitchen,https://example.com/Kitchen_Product_241.jpg
Kitchen Product 343,3153.42,87.15176764761017,405.16,3.7,229,USA,Seller_486,This is a description for Kitchen Product 343.,82,Kitchen,https://example.com/Kitchen_Product_343.jpg
Clothing Product 156,3348.89,76.09866995747643,800.43,4.9,439,Germany,Seller_270,This is a description for Clothing Product 156.,411,Clothing,https://example.com/Clothing_Product_156.jpg
Kitchen Product 391,986.54,67.13103772766301,324.27,4.9,740,India,Seller_308,This is a description for Kitchen Product 391.,441,Kitchen,https://example.com/Kitchen_Product_391.jpg
Kitchen Product 198,1468.84,65.12754604100206,512.22,3.6,729,USA,Seller_204,This is a description for Kitchen Product 198.,239,Kitchen,https://example.com/Kitchen_Product_198.jpg
Books Product 2,573.64,85.12886551949157,85.31,4.3,869,China,Seller_134,This is a description for Books Product 2.,95,Books,https://example.com/Books_Product_2.jpg
Books Product 638,2624.32,69.63561642418298,796.86,4.3,257,Germany,Seller_193,This is a description for Books Product 638.,23,Books,https://example.com/Books_Product_638.jpg
Beauty Product 184,4798.58,75.56402314731858,1172.58,4.9,848,USA,Seller_20,This is a description for Beauty Product 184.,104,Beauty,https://example.com/Beauty_Product_184.jpg
Kitchen Product 896,263.13,68.36783779723241,83.23,4.4,34,China,Seller_416,This is a description for Kitchen Product 896.,121,Kitchen,https://example.com/Kitchen_Product_896.jpg
Automotive Product 761,2022.85,89.85488103513376,205.22,4.3,448,India,Seller_190,This is a description for Automotive Product 761.,26,Automotive,https://example.com/Automotive_Product_761.jpg
Computers Product 636,1232.25,82.67420217902453,213.5,3.7,515,Germany,Seller_12,This is a description for Computers Product 636.,319,Computers,https://example.com/Computers_Product_636.jpg
Sports Product 336,3019.29,61.141873555480146,1173.24,4.7,438,Germany,Seller_459,This is a description for Sports Product 336.,433,Sports,https://example.com/Sports_Product_336.jpg
Books Product 472,4388.68,62.30623446674626,1654.26,5.0,258,China,Seller_62,This is a description for Books Product 472.,62,Books,https://example.com/Books_Product_472.jpg
Computers Product 999,559.93,76.38762397245333,132.21,4.5,886,Germany,Seller_33,This is a description for Computers Product 999.,312,Computers,https://example.com/Computers_Product_999.jpg
Shoes Product 612,2758.52,68.61662109923839,865.72,5.0,726,USA,Seller_300,This is a description for Shoes Product 612.,191,Shoes,https://example.com/Shoes_Product_612.jpg
Toys Product 881,4656.41,54.54544511886158,2116.55,4.3,700,USA,Seller_235,This is a description for Toys Product 881.,236,Toys,https://example.com/Toys_Product_881.jpg
Computers Product 634,271.23,63.83350391853411,98.09,3.9,442,Germany,Seller_418,This is a description for Computers Product 634.,297,Computers,https://example.com/Computers_Product_634.jpg
Electronics Product 467,636.61,74.00186608275112,165.51,3.5,713,USA,Seller_404,This is a description for Electronics Product 467.,225,Electronics,https://example.com/Electronics_Product_467.jpg
Computers Product 266,751.65,54.07985278406565,345.16,4.8,510,China,Seller_324,This is a description for Computers Product 266.,494,Computers,https://example.com/Computers_Product_266.jpg
Sports Product 466,2916.51,84.90314421991206,440.3,4.6,785,India,Seller_73,This is a description for Sports Product 466.,204,Sports,https://example.com/Sports_Product_466.jpg
Toys Product 760,2390.61,70.34261223126813,708.99,4.9,553,India,Seller_389,This is a description for Toys Product 760.,320,Toys,https://example.com/Toys_Product_760.jpg
Electronics Product 99,208.56,72.31020859139957,57.75,3.7,505,India,Seller_450,This is a description for Electronics Product 99.,281,Electronics,https://example.com/Electronics_Product_99.jpg
Books Product 992,3537.85,51.4764644778563,1716.69,4.5,434,USA,Seller_363,This is a description for Books Product 992.,59,Books,https://example.com/Books_Product_992.jpg
Shoes Product 561,4083.37,59.40966226163479,1657.45,4.2,679,China,Seller_326,This is a description for Shoes Product 561.,90,Shoes,https://example.com/Shoes_Product_561.jpg
Electronics Product 171,138.81,72.33121065693413,38.41,4.6,423,Germany,Seller_201,This is a description for Electronics Product 171.,187,Electronics,https://example.com/Electronics_Product_171.jpg
Books Product 933,3224.67,84.8745617303779,487.75,4.7,177,China,Seller_334,This is a description for Books Product 933.,193,Books,https://example.com/Books_Product_933.jpg
Automotive Product 264,3910.24,83.66611198748544,638.69,4.9,413,China,Seller_373,This is a description for Automotive Product 264.,10,Automotive,https://example.com/Automotive_Product_264.jpg
Books Product 672,118.19,65.60803705128973,40.65,4.9,885,Germany,Seller_391,This is a description for Books Product 672.,110,Books,https://example.com/Books_Product_672.jpg
Sports Product 570,2454.83,71.19495382612017,707.11,4.3,990,USA,Seller_22,This is a description for Sports Product 570.,196,Sports,https://example.com/Sports_Product_570.jpg
Kitchen Product 236,831.8,62.60241555812294,311.07,4.1,707,Germany,Seller_377,This is a description for Kitchen Product 236.,385,Kitchen,https://example.com/Kitchen_Product_236.jpg
Electronics Product 260,2765.38,88.36383473408611,321.78,3.6,884,USA,Seller_390,This is a description for Electronics Product 260.,320,Electronics,https://example.com/Electronics_Product_260.jpg
Toys Product 777,4070.54,55.944741613349386,1793.29,4.2,467,USA,Seller_240,This is a description for Toys Product 777.,202,Toys,https://example.com/Toys_Product_777.jpg
Electronics Product 800,4891.01,89.72392805982349,502.6,4.3,50,Germany,Seller_302,This is a description for Electronics Product 800.,215,Electronics,https://example.com/Electronics_Product_800.jpg
Clothing Product 497,4790.08,79.62273022189447,976.09,4.5,606,China,Seller_200,This is a description for Clothing Product 497.,50,Clothing,https://example.com/Clothing_Product_497.jpg
Shoes Product 425,3984.53,55.27883742994814,1781.93,4.1,539,India,Seller_156,This is a description for Shoes Product 425.,87,Shoes,https://example.com/Shoes_Product_425.jpg
Automotive Product 950,3364.81,58.14298676856592,1408.41,4.6,830,Germany,Seller_432,This is a description for Automotive Product 950.,146,Automotive,https://example.com/Automotive_Product_950.jpg
Shoes Product 921,4053.02,53.52001686058158,1883.84,3.5,478,India,Seller_403,This is a description for Shoes Product 921.,395,Shoes,https://example.com/Shoes_Product_921.jpg
Electronics Product 810,474.68,76.4085517611354,111.98,3.7,122,Germany,Seller_484,This is a description for Electronics Product 810.,360,Electronics,https://example.com/Electronics_Product_810.jpg
Books Product 272,4615.07,79.02176467600746,968.16,4.1,667,USA,Seller_83,This is a description for Books Product 272.,143,Books,https://example.com/Books_Product_272.jpg
Books Product 493,1989.92,76.38066260136316,470.01,3.9,643,Germany,Seller_184,This is a description for Books Product 493.,435,Books,https://example.com/Books_Product_493.jpg
Automotive Product 814,2880.47,87.64124846004486,355.99,4.7,995,USA,Seller_352,This is a description for Automotive Product 814.,435,Automotive,https://example.com/Automotive_Product_814.jpg
Clothing Product 133,4330.97,52.662832568214185,2050.16,4.9,616,China,Seller_108,This is a description for Clothing Product 133.,316,Clothing,https://example.com/Clothing_Product_133.jpg
Automotive Product 62,3621.92,79.20290732197286,753.25,3.8,996,India,Seller_2,This is a description for Automotive Product 62.,462,Automotive,https://example.com/Automotive_Product_62.jpg
Computers Product 208,1121.09,78.84426272952906,237.17,4.8,569,USA,Seller_468,This is a description for Computers Product 208.,454,Computers,https://example.com/Computers_Product_208.jpg
Beauty Product 891,4653.4,58.726589156094064,1920.62,4.2,983,USA,Seller_42,This is a description for Beauty Product 891.,168,Beauty,https://example.com/Beauty_Product_891.jpg
Shoes Product 84,4568.68,57.52040405634235,1940.76,4.4,737,Germany,Seller_468,This is a description for Shoes Product 84.,30,Shoes,https://example.com/Shoes_Product_84.jpg
Beauty Product 204,3126.77,70.86200033880668,911.08,3.8,60,India,Seller_488,This is a description for Beauty Product 204.,427,Beauty,https://example.com/Beauty_Product_204.jpg
Electronics Product 192,3615.78,83.23814596291987,606.07,4.3,386,USA,Seller_448,This is a description for Electronics Product 192.,164,Electronics,https://example.com/Electronics_Product_192.jpg
Beauty Product 652,207.92,79.22412836285648,43.2,4.0,961,China,Seller_363,This is a description for Beauty Product 652.,358,Beauty,https://example.com/Beauty_Product_652.jpg
Clothing Product 474,4832.83,85.41936393513703,704.66,4.5,435,China,Seller_180,This is a description for Clothing Product 474.,379,Clothing,https://example.com/Clothing_Product_474.jpg
Beauty Product 497,4149.28,56.521308547348724,1804.05,4.9,632,USA,Seller_486,This is a description for Beauty Product 497.,443,Beauty,https://example.com/Beauty_Product_497.jpg
Kitchen Product 124,4885.62,63.089853107201016,1803.29,4.7,543,Germany,Seller_288,This is a description for Kitchen Product 124.,92,Kitchen,https://example.com/Kitchen_Product_124.jpg
Toys Product 290,2362.43,62.57952565067849,884.03,3.8,390,China,Seller_317,This is a description for Toys Product 290.,195,Toys,https://example.com/Toys_Product_290.jpg
Computers Product 352,4317.02,62.47710863980585,1619.87,4.5,500,India,Seller_346,This is a description for Computers Product 352.,263,Computers,https://example.com/Computers_Product_352.jpg
Clothing Product 562,300.5,69.34366602374702,92.12,3.9,322,USA,Seller_282,This is a description for Clothing Product 562.,358,Clothing,https://example.com/Clothing_Product_562.jpg
Books Product 408,4739.37,52.40055982220668,2255.91,3.7,375,India,Seller_70,This is a description for Books Product 408.,355,Books,https://example.com/Books_Product_408.jpg
Automotive Product 239,101.77,64.12491665913302,36.51,4.9,424,China,Seller_293,This is a description for Automotive Product 239.,345,Automotive,https://example.com/Automotive_Product_239.jpg
Automotive Product 567,4752.81,86.69659112173352,632.29,4.6,27,India,Seller_158,This is a description for Automotive Product 567.,196,Automotive,https://example.com/Automotive_Product_567.jpg
Toys Product 638,4883.7,72.36723621416273,1349.5,4.5,658,Germany,Seller_313,This is a description for Toys Product 638.,384,Toys,https://example.com/Toys_Product_638.jpg
Kitchen Product 55,3922.6,80.02912511671994,783.38,3.5,54,Germany,Seller_294,This is a description for Kitchen Product 55.,232,Kitchen,https://example.com/Kitchen_Product_55.jpg
Computers Product 427,2061.54,80.28139278939304,406.51,4.7,181,USA,Seller_296,This is a description for Computers Product 427.,259,Computers,https://example.com/Computers_Product_427.jpg
Kitchen Product 872,947.14,69.76920841158973,286.33,4.7,481,India,Seller_373,This is a description for Kitchen Product 872.,189,Kitchen,https://example.com/Kitchen_Product_872.jpg
Automotive Product 678,2203.93,75.53353062061377,539.22,4.4,353,India,Seller_138,This is a description for Automotive Product 678.,117,Automotive,https://example.com/Automotive_Product_678.jpg
Sports Product 458,396.64,53.385145860652955,184.89,4.3,625,China,Seller_351,This is a description for Sports Product 458.,187,Sports,https://example.com/Sports_Product_458.jpg
Computers Product 66,1736.87,85.9822109279906,243.47,3.6,514,India,Seller_78,This is a description for Computers Product 66.,373,Computers,https://example.com/Computers_Product_66.jpg
Computers Product 414,4727.92,66.45750719094411,1585.86,3.6,961,Germany,Seller_191,This is a description for Computers Product 414.,153,Computers,https://example.com/Computers_Product_414.jpg
Electronics Product 196,2655.16,59.68657603446723,1070.39,4.7,669,Germany,Seller_291,This is a description for Electronics Product 196.,424,Electronics,https://example.com/Electronics_Product_196.jpg
Automotive Product 869,3661.09,80.40971266609132,717.22,4.4,741,India,Seller_166,This is a description for Automotive Product 869.,332,Automotive,https://example.com/Automotive_Product_869.jpg
Computers Product 961,3596.56,73.28477900209356,960.83,4.9,367,India,Seller_14,This is a description for Computers Product 961.,62,Computers,https://example.com/Computers_Product_961.jpg
Beauty Product 517,4914.38,80.70591805105673,948.18,4.4,115,USA,Seller_69,This is a description for Beauty Product 517.,492,Beauty,https://example.com/Beauty_Product_517.jpg
Books Product 783,3234.84,83.80119637538135,524.01,4.2,164,Germany,Seller_138,This is a description for Books Product 783.,454,Books,https://example.com/Books_Product_783.jpg
Books Product 848,4279.62,52.07308274166004,2051.09,4.5,958,USA,Seller_390,This is a description for Books Product 848.,284,Books,https://example.com/Books_Product_848.jpg
Beauty Product 790,1406.49,63.974780496655505,506.69,4.5,863,USA,Seller_426,This is a description for Beauty Product 790.,320,Beauty,https://example.com/Beauty_Product_790.jpg
Kitchen Product 764,4573.97,68.12859534747416,1457.79,3.9,630,China,Seller_458,This is a description for Kitchen Product 764.,414,Kitchen,https://example.com/Kitchen_Product_764.jpg
Automotive Product 357,291.1,81.00626597641256,55.29,4.4,805,Germany,Seller_109,This is a description for Automotive Product 357.,364,Automotive,https://example.com/Automotive_Product_357.jpg
Toys Product 945,4435.11,77.06554053995735,1017.17,5.0,10,Germany,Seller_219,This is a description for Toys Product 945.,439,Toys,https://example.com/Toys_Product_945.jpg
Computers Product 334,230.84,64.52622202783229,81.89,4.5,888,India,Seller_182,This is a description for Computers Product 334.,79,Computers,https://example.com/Computers_Product_334.jpg
Computers Product 782,3700.21,52.257265906307055,1766.58,4.9,477,India,Seller_162,This is a description for Computers Product 782.,281,Computers,https://example.com/Computers_Product_782.jpg
Shoes Product 930,4325.42,86.40089848809436,588.22,3.7,739,India,Seller_411,This is a description for Shoes Product 930.,263,Shoes,https://example.com/Shoes_Product_930.jpg
Computers Product 939,661.63,57.1365300514259,283.6,4.4,837,USA,Seller_81,This is a description for Computers Product 939.,377,Computers,https://example.com/Computers_Product_939.jpg
Shoes Product 781,1796.36,77.4801838640467,404.54,4.9,711,China,Seller_376,This is a description for Shoes Product 781.,447,Shoes,https://example.com/Shoes_Product_781.jpg
Books Product 978,3826.01,58.84037565563303,1574.77,3.9,895,India,Seller_456,This is a description for Books Product 978.,173,Books,https://example.com/Books_Product_978.jpg
Sports Product 755,3528.42,60.42532918484398,1396.36,3.7,673,China,Seller_291,This is a description for Sports Product 755.,121,Sports,https://example.com/Sports_Product_755.jpg
Shoes Product 944,1835.29,58.06374606315211,769.65,4.4,572,Germany,Seller_347,This is a description for Shoes Product 944.,199,Shoes,https://example.com/Shoes_Product_944.jpg
Beauty Product 191,3618.51,84.75173351623242,551.76,4.2,318,USA,Seller_417,This is a description for Beauty Product 191.,93,Beauty,https://example.com/Beauty_Product_191.jpg
Beauty Product 541,1279.57,68.16247178874875,407.38,3.7,146,USA,Seller_26,This is a description for Beauty Product 541.,314,Beauty,https://example.com/Beauty_Product_541.jpg
Computers Product 769,4389.24,56.88650732831734,1892.35,4.1,468,China,Seller_75,This is a description for Computers Product 769.,134,Computers,https://example.com/Computers_Product_769.jpg
Clothing Product 34,3291.8,79.11282958104083,687.56,4.6,38,China,Seller_416,This is a description for Clothing Product 34.,95,Clothing,https://example.com/Clothing_Product_34.jpg
Automotive Product 137,2962.05,81.0030529618202,562.7,3.9,627,India,Seller_242,This is a description for Automotive Product 137.,34,Automotive,https://example.com/Automotive_Product_137.jpg
Automotive Product 117,1555.93,81.65449331884066,285.44,4.6,995,Germany,Seller_465,This is a description for Automotive Product 117.,421,Automotive,https://example.com/Automotive_Product_117.jpg
Clothing Product 296,876.37,87.4635495127539,109.87,4.9,453,India,Seller_32,This is a description for Clothing Product 296.,297,Clothing,https://example.com/Clothing_Product_296.jpg
Clothing Product 708,1120.53,53.43058180614133,521.82,3.5,18,China,Seller_416,This is a description for Clothing Product 708.,474,Clothing,https://example.com/Clothing_Product_708.jpg
Electronics Product 755,2862.39,84.93925313922279,431.1,3.6,642,China,Seller_93,This is a description for Electronics Product 755.,439,Electronics,https://example.com/Electronics_Product_755.jpg
Automotive Product 304,4469.76,80.79150649059613,858.57,4.1,350,India,Seller_122,This is a description for Automotive Product 304.,24,Automotive,https://example.com/Automotive_Product_304.jpg
Electronics Product 783,1771.97,56.89554684786427,763.8,4.3,775,India,Seller_407,This is a description for Electronics Product 783.,112,Electronics,https://example.com/Electronics_Product_783.jpg
Clothing Product 547,269.31,59.58729719487074,108.84,4.1,975,China,Seller_74,This is a description for Clothing Product 547.,37,Clothing,https://example.com/Clothing_Product_547.jpg
Beauty Product 745,1714.95,88.7200586215612,193.45,3.7,128,USA,Seller_453,This is a description for Beauty Product 745.,269,Beauty,https://example.com/Beauty_Product_745.jpg
Computers Product 848,3070.11,57.41551688480208,1307.39,3.6,324,India,Seller_345,This is a description for Computers Product 848.,422,Computers,https://example.com/Computers_Product_848.jpg
Electronics Product 970,934.96,89.86245735865654,94.78,4.8,728,China,Seller_417,This is a description for Electronics Product 970.,400,Electronics,https://example.com/Electronics_Product_970.jpg
Clothing Product 689,1047.56,72.59459621235033,287.09,4.8,61,China,Seller_186,This is a description for Clothing Product 689.,416,Clothing,https://example.com/Clothing_Product_689.jpg
Kitchen Product 776,2426.58,83.00133060001231,412.49,3.9,305,Germany,Seller_494,This is a description for Kitchen Product 776.,399,Kitchen,https://example.com/Kitchen_Product_776.jpg
Electronics Product 162,844.24,87.6096170507833,104.6,3.8,864,Germany,Seller_373,This is a description for Electronics Product 162.,50,Electronics,https://example.com/Electronics_Product_162.jpg
Electronics Product 164,3126.22,85.448477477273,454.91,3.6,319,Germany,Seller_292,This is a description for Electronics Product 164.,234,Electronics,https://example.com/Electronics_Product_164.jpg
Kitchen Product 782,704.33,85.39108468861005,102.89,4.3,434,India,Seller_396,This is a description for Kitchen Product 782.,354,Kitchen,https://example.com/Kitchen_Product_782.jpg
Sports Product 966,4746.0,75.32184096669084,1171.23,5.0,674,India,Seller_286,This is a description for Sports Product 966.,94,Sports,https://example.com/Sports_Product_966.jpg
Toys Product 813,4155.42,60.89568364875679,1624.95,4.0,393,China,Seller_38,This is a description for Toys Product 813.,177,Toys,https://example.com/Toys_Product_813.jpg
Books Product 894,4845.55,77.04305131484301,1112.39,4.4,682,USA,Seller_26,This is a description for Books Product 894.,263,Books,https://example.com/Books_Product_894.jpg
Sports Product 962,4008.58,71.65728748869373,1136.14,3.6,615,USA,Seller_26,This is a description for Sports Product 962.,188,Sports,https://example.com/Sports_Product_962.jpg
Clothing Product 997,2715.53,61.919414669034374,1034.09,4.9,231,USA,Seller_54,This is a description for Clothing Product 997.,19,Clothing,https://example.com/Clothing_Product_997.jpg
Automotive Product 650,3604.29,84.66702343451641,552.64,4.9,683,USA,Seller_202,This is a description for Automotive Product 650.,230,Automotive,https://example.com/Automotive_Product_650.jpg
Kitchen Product 817,4147.19,86.55653334714707,557.53,4.5,980,Germany,Seller_264,This is a description for Kitchen Product 817.,365,Kitchen,https://example.com/Kitchen_Product_817.jpg
Clothing Product 197,3364.28,69.00709481143323,1042.69,4.2,369,Germany,Seller_336,This is a description for Clothing Product 197.,446,Clothing,https://example.com/Clothing_Product_197.jpg
